"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"551457",,"145","Suzano (Cidade Edson) / Sao Paulo (Estacao Cptm Itaim Paulista)",,"3",,,
"553021",,"600","Indaiatuba (Terminal Rodoviario de Indaiatuba) / Campinas (Centro)",,"3",,,
"555019",,"200","Mogi das Cruzes (Terminal Rodoviario Geraldo Scavone) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"557276",,"348","Aruja (Terminal Rodoviario de Aruja) Itaquaquecetuba (Jardim Nossa Senhora das Gracas)",,"3",,,
"558028",,"205","Poa (Terminal Rodoviario Pedro Fava - Cidade Kemel) / Sao Paulo (Parque Dom Pedro II)",,"3",,,
"558053",,"601","Indaiatuba (Terminal Rodoviario de Indaiatuba) / Campinas (Centro)",,"3",,,
"558174",,"411","Santa Isabel (Monte Serrat) / Mogi das Cruzes (Terminal Rodoviario Geraldo Scavone)",,"3",,,
"558459",,"219BI1","Santa Isabel (Monte Serrat) Guarulhos (Centro)",,"3",,,
"560137",,"156BI1","Diadema (Eldorado) Sao Bernardo do Campo (Baeta Neves)",,"3",,,
"560171",,"068","Taboao da Serra (Parque Laguna) Sao Paulo (Pinheiros)",,"3",,,
"560255",,"934","Praia Grande (Terminal Rodoviario e Urbano Tatico Francisco Gomes da Silva) / Santos (Paqueta)",,"3",,,
"563049",,"332","Itaquaquecetuba (Residencial Marengo) / Suzano (Vila Sol Nascente)",,"3",,,
"564026",,"125BI1","Embu das Artes (Jardim Nossa Senhora de Fatima) / Sao Paulo (Pinheiros)",,"3",,,
"564091",,"405","Suzano (Centro) / Itaquaquecetuba (Rancho Grande)",,"3",,,
"564156",,"380","Diadema (Terminal Metropolitano de Diadema) Sao Paulo (Jardim Guacuri)",,"3",,,
"567005",,"025","Suzano (Cidade Edson) / Mogi das Cruzes (Estacao Cptm Estudantes)",,"3",,,
"567256",,"193","Embu das Artes (Jardim Santa Tereza) / Sao Paulo (Metro Capao Redondo)",,"3",,,
"567367",,"311","Salesopolis (Trevo da Petrobras) / Mogi das Cruzes (Centro)",,"3",,,
"567374",,"311DV1","Salesopolis (Trevo da Petrobras) / Mogi das Cruzes (Centro)",,"3",,,
"567480",,"933DV1","Sao Vicente (Humaita) / Santos (Paqueta)",,"3",,,
"567488",,"574","Guarulhos (Jardim Cumbica) / Sao Paulo (Metro Carrao)",,"3",,,
"567527",,"363","Aruja (Terminal Rodoviario de Aruja) Aruja (Recanto Primavera)",,"3",,,
"568216",,"237","Itapecerica da Serra (Jardim Sao Pedro) / Sao Paulo (Metro Capao Redondo)",,"3",,,
"568391",,"604DV1","Paulinia (Paulinia Rodoviaria Shopping) / Campinas (Botafogo)",,"3",,,
"568397",,"605","Paulinia (Paulinia Rodoviaria Shopping) / Campinas (Botafogo)",,"3",,,
"568407",,"033","Embu das Artes (Engenho Velho) Sao Paulo (Clinicas)",,"3",,,
"571022",,"012","Embu-Guacu (Cipo) / Sao Paulo (Terminal Grajau)",,"3",,,
"572013",,"124","Embu das Artes (Jardim Santo Eduardo) Sao Paulo (Clinicas)",,"3",,,
"575091",,"054","Cajamar (Jordanesia) / Sao Paulo (Lapa)",,"3",,,
"577010",,"125","Embu das Artes (Jardim Sao Marcos) / Sao Paulo (Pinheiros)",,"3",,,
